Floor Plan,Grid Id,Area #,Protocol,Band,MeasurementType,Channel,Frequency,DL Power(dBm),DL S/N(dB),DL FBER(%),DL DAQ,DL BER(%),DL Signal Power(dBm),UL Power(dBm),UL S/N(dB),UL FBER(%),UL DAQ,UL BER(%),UL Signal Power(dBm),Comment,Latitude,Longitude
Fine Arts - Admin 1,1,1,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,Area Comment Added,40.000466,-79.999677
Fine Arts - Admin 1,1,2,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000466,-79.999539
Fine Arts - Admin 1,1,3,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000466,-79.999401
Fine Arts - Admin 1,1,4,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000466,-79.999263
Fine Arts - Admin 1,1,5,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,0,,NT,,,NT,,,,40.000357,-79.999677
Fine Arts - Admin 1,1,6,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,22.5,,NT,,,NT,,,,40.000357,-79.999539
Fine Arts - Admin 1,1,7,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000357,-79.999401
Fine Arts - Admin 1,1,8,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000357,-79.999263
Fine Arts - Admin 1,1,9,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000248,-79.999677
Fine Arts - Admin 1,1,10,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000248,-79.999539
Fine Arts - Admin 1,1,11,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000248,-79.999401
Fine Arts - Admin 1,1,12,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000248,-79.999263
Fine Arts - Admin 1,1,13,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000139,-79.999677
Fine Arts - Admin 1,1,14,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000139,-79.999539
Fine Arts - Admin 1,1,15,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000139,-79.999401
Fine Arts - Admin 1,1,16,Custom Channel Power,Skagit Co,29,460137,460.1375,NT,,,,,,NT,,,NT,,,,40.000139,-79.999263
Fine Arts - Admin 1,2,1,Custom Channel Power,Skagit Co,29,460137,460.1375,-84.34,,,,,,,,,,,,,40.00025,-79.999892
Fine Arts - Admin 1,2,2,Custom Channel Power,Skagit Co,29,460137,460.1375,-87.25,,,,,,,,,,,,,40.00025,-79.999797
Fine Arts - Admin 1,2,3,Custom Channel Power,Skagit Co,29,460137,460.1375,-86.42,,,,,,,,,,,,,40.000171,-79.999892
Fine Arts - Admin 1,2,4,Custom Channel Power,Skagit Co,29,460137,460.1375,-87.39,,,,,,,,,,,,,40.000171,-79.999797
